"term","group","contrast","estimate","conf.low","conf.high"
"avg_drought","1","dY/dX",-0.0560599674387786,-0.260577910625792,0.146419151519772
"avg_drought","2","dY/dX",0.00314637917232218,-0.597134200011761,0.573120759891119
"avg_drought","3","dY/dX",0.0492825785069397,-0.62935817897123,0.763328164730152
"avg_earthquake","1","dY/dX",-0.178389771040937,-0.332099966890785,-0.032325626751602
"avg_earthquake","2","dY/dX",0.0495855268146602,-0.371321954094232,0.462849711420606
"avg_earthquake","3","dY/dX",0.128353445281506,-0.352292606685152,0.622090853082391
"avg_flooding","1","dY/dX",-0.0523070272494654,-0.198186893055203,0.0941585939405728
"avg_flooding","2","dY/dX",0.173054519907368,-0.238554518581685,0.577023298653558
"avg_flooding","3","dY/dX",-0.122446899062413,-0.592976944227935,0.363017529621866
"avg_heatwave","1","dY/dX",0.317362905201339,-0.0383941532945657,0.784681005380763
"avg_heatwave","2","dY/dX",0.234598323627138,-0.901241075269221,1.45984717462539
"avg_heatwave","3","dY/dX",-0.539080541016645,-2.12633493729006,0.726929680062373
"avg_hurricane","1","dY/dX",-0.0455046390659978,-0.170734770796533,0.0773058736479093
"avg_hurricane","2","dY/dX",-0.113314372758178,-0.453399678148661,0.240856880359901
"avg_hurricane","3","dY/dX",0.158405252945827,-0.260850397377453,0.565256700713326
"avg_mudslide","1","dY/dX",-0.108461333271288,-0.751236482534872,0.331208959732226
"avg_mudslide","2","dY/dX",-0.575909098176757,-2.37853955986066,0.749290722281193
"avg_mudslide","3","dY/dX",0.666501379853754,-0.811850356925511,2.91189995643011
"avg_sandstorm","1","dY/dX",-0.134582498790049,-0.802760221044894,0.395713369404919
"avg_sandstorm","2","dY/dX",0.404424151325756,-1.25484183786565,2.54128569647161
"avg_sandstorm","3","dY/dX",-0.308011258540123,-2.38158448979603,1.67278854862761
"avg_snowstorm","1","dY/dX",-0.282151365775734,-0.999251499981926,0.158819997410714
"avg_snowstorm","2","dY/dX",0.0683474301606625,-1.74124993047901,1.74170626025547
"avg_snowstorm","3","dY/dX",0.171371196850086,-1.50697439720852,2.52406212241125
"avg_thunder","1","dY/dX",-0.0563806718478821,-0.441869968672573,0.298699682450527
"avg_thunder","2","dY/dX",0.0868271061578684,-1.01052869306986,1.18602222326706
"avg_thunder","3","dY/dX",-0.0364851589221291,-1.25763431451195,1.25566631774992
"avg_tornado","1","dY/dX",0.283316940035657,-0.154884990733609,0.923391053623438
"avg_tornado","2","dY/dX",-0.293139822308805,-2.01817358254401,1.35616115025949
