"term","group","contrast","resilience_within_z","estimate","conf.low","conf.high"
"hazard_type","1","drought - none",-1,-0.0668416028924371,-0.0802058365829762,-0.0530099152111352
"hazard_type","1","earthquake - none",-1,-0.0442467590387866,-0.0581377480099101,-0.0298190379649892
"hazard_type","1","flooding - none",-1,-0.0577537377015418,-0.0660030752877962,-0.0500943981485756
"hazard_type","1","heatwave - none",-1,-0.0830756594503738,-0.10411263451898,-0.0604026390347952
"hazard_type","1","hurricane - none",-1,-0.0330658482146382,-0.0460242208816435,-0.0190915836705901
"hazard_type","1","mudslide - none",-1,-0.0625845021458254,-0.0880459723715379,-0.0302897282193304
"hazard_type","1","sandstorm - none",-1,-0.0756234154896088,-0.109449100004161,-0.0274564048764966
"hazard_type","1","snowstorm - none",-1,-0.0744639348597419,-0.104434544864749,-0.0341112508692998
"hazard_type","1","thunder - none",-1,-0.0533131981660476,-0.0777178245960166,-0.0232959993324429
"hazard_type","1","tornado - none",-1,-0.0171964364546218,-0.0515653149558334,0.0226146245752713
"hazard_type","1","volcano - none",-1,-0.00888798407987602,-0.0670487379386047,0.0665101586639126
"hazard_type","1","wildfire - none",-1,-0.055098025879058,-0.0760806606175115,-0.0317079990577014
"hazard_type","2","drought - none",-1,-0.0237624670798175,-0.0467772633329952,-0.000444034091921705
"hazard_type","2","earthquake - none",-1,-0.0402429055807906,-0.0589701841424785,-0.02080637261426
"hazard_type","2","flooding - none",-1,-0.0315882596647616,-0.0433067794353264,-0.0197116378934291
"hazard_type","2","heatwave - none",-1,-0.00879617233719172,-0.0537909958880211,0.0410534291292971
"hazard_type","2","hurricane - none",-1,-0.0467953288048076,-0.0665143207670119,-0.0266635588055135
"hazard_type","2","mudslide - none",-1,-0.0605878738956484,-0.108692945273907,-0.00918923735035982
"hazard_type","2","sandstorm - none",-1,0.0531029129852095,-0.0142110262724929,0.13316037445021
"hazard_type","2","snowstorm - none",-1,0.0312618004971421,-0.0264115523115104,0.092349636550575
"hazard_type","2","thunder - none",-1,-0.0116112832122992,-0.0536391042662199,0.0316127996846723
"hazard_type","2","tornado - none",-1,-0.0711381489377897,-0.119833058182024,-0.0162733795488537
"hazard_type","2","volcano - none",-1,0.0500768044727003,-0.0484762697105615,0.159158770133524
"hazard_type","2","wildfire - none",-1,-0.0506398624599349,-0.0850226548855494,-0.0141928847258109
"hazard_type","3","drought - none",-1,0.0904558925567381,0.0652712169075475,0.115154067833188
"hazard_type","3","earthquake - none",-1,0.0843383270508344,0.063280937851493,0.10569500784004
"hazard_type","3","flooding - none",-1,0.089378204627666,0.076985777797362,0.102079405015944
"hazard_type","3","heatwave - none",-1,0.0916408837632625,0.040870791801308,0.139943158918697
"hazard_type","3","hurricane - none",-1,0.0800966047794823,0.0575598790813456,0.101738214399248
"hazard_type","3","mudslide - none",-1,0.12203216071469,0.0681721987485773,0.173862313434802
"hazard_type","3","sandstorm - none",-1,0.0198633078084287,-0.0630910686344846,0.0965050045773424
"hazard_type","3","snowstorm - none",-1,0.0417184514294713,-0.0208208618262053,0.102432769881212
"hazard_type","3","thunder - none",-1,0.0641026397463201,0.0182069900750542,0.108617094580854
"hazard_type","3","tornado - none",-1,0.0877064561893654,0.0283324022008952,0.141300002670966
"hazard_type","3","volcano - none",-1,-0.0431950033270225,-0.157892318376318,0.0682902767417127
"hazard_type","3","wildfire - none",-1,0.105380605772103,0.0648166461981882,0.143473364996386
"hazard_type","1","drought - none",0,-0.0646310374858097,-0.0757912434107717,-0.053667665707393
"hazard_type","1","earthquake - none",0,-0.0367578311369342,-0.0472283049611474,-0.025746056797105
"hazard_type","1","flooding - none",0,-0.053441973270991,-0.0599605318004266,-0.047264181348662
"hazard_type","1","heatwave - none",0,-0.0899906299028333,-0.106405574929368,-0.0733392832477499
"hazard_type","1","hurricane - none",0,-0.0266464268429998,-0.0372040479705381,-0.0159761597445181
"hazard_type","1","mudslide - none",0,-0.0373755473352988,-0.061410480835799,-0.0111291595319375
"hazard_type","1","sandstorm - none",0,-0.0844103678617822,-0.114925999198836,-0.0439369659368871
"hazard_type","1","snowstorm - none",0,-0.0626390471737197,-0.0884416682474854,-0.0332356086945214
"hazard_type","1","thunder - none",0,-0.0658757627765136,-0.0840277414802598,-0.0460347267272412
"hazard_type","1","tornado - none",0,-0.0254223220471821,-0.0517400128918824,0.00407881444401956
"hazard_type","1","volcano - none",0,-0.0314078887758506,-0.0737997244517462,0.0215013296575744
"hazard_type","1","wildfire - none",0,-0.0418641300043839,-0.058282392302446,-0.0239239029882566
"hazard_type","2","drought - none",0,-0.0166181011911529,-0.0341152330369744,0.0016910033670202
"hazard_type","2","earthquake - none",0,-0.0299757485240139,-0.0439255590255188,-0.0158711041736101
"hazard_type","2","flooding - none",0,-0.0352993638008854,-0.0436850855474362,-0.0266749123979039
"hazard_type","2","heatwave - none",0,-0.0422825854166445,-0.0753199537332159,-0.0072675687003605
"hazard_type","2","hurricane - none",0,-0.0514722978863178,-0.0662965443900057,-0.0368372330641454
"hazard_type","2","mudslide - none",0,-0.0713721134396335,-0.105725233594542,-0.0346207297320964
"hazard_type","2","sandstorm - none",0,-0.0150943905293428,-0.0735819411376125,0.0474728052276721
"hazard_type","2","snowstorm - none",0,-0.000633405917762268,-0.0362051048863736,0.0390702953853214
"hazard_type","2","thunder - none",0,-0.00962553926821006,-0.0406715512306647,0.0198034949889678
"hazard_type","2","tornado - none",0,-0.0503456950419758,-0.0881317829868437,-0.0105241550831831
"hazard_type","2","volcano - none",0,0.0335933476173327,-0.0362043213070634,0.109823277217676
"hazard_type","2","wildfire - none",0,-0.0424330689333608,-0.0665077105945922,-0.0178195306775921
"hazard_type","3","drought - none",0,0.0811508983370909,0.0623945676510244,0.0999476643682897
"hazard_type","3","earthquake - none",0,0.06685325165438,0.0516852113094014,0.0815257147463515
"hazard_type","3","flooding - none",0,0.0888324115814458,0.079805132683082,0.0978917019273656
"hazard_type","3","heatwave - none",0,0.131912668474759,0.0945685163438654,0.16858786097209
"hazard_type","3","hurricane - none",0,0.0783729275469575,0.0621693202069597,0.0941826471178481
"hazard_type","3","mudslide - none",0,0.108359941778786,0.0690774706632343,0.145667632392103
"hazard_type","3","sandstorm - none",0,0.0991291593096075,0.0299902526811712,0.163054765315351
"hazard_type","3","snowstorm - none",0,0.0621022095930227,0.0206907178472308,0.101951724986609
"hazard_type","3","thunder - none",0,0.0754825114892902,0.0438155858782484,0.107322192010186
"hazard_type","3","tornado - none",0,0.0755085276904087,0.0307775034073937,0.1178076056852
"hazard_type","3","volcano - none",0,-0.00460452859137286,-0.0851872559587477,0.0715451504444952
"hazard_type","3","wildfire - none",0,0.0842067251846532,0.0571940478591267,0.110362741555385
"hazard_type","1","drought - none",1,-0.0614070930674093,-0.0767612246003403,-0.0452866395285179
"hazard_type","1","earthquake - none",1,-0.027582891153629,-0.0420444101833936,-0.012131780943995
"hazard_type","1","flooding - none",1,-0.0474999822222155,-0.0563374746539535,-0.0391901289348634
"hazard_type","1","heatwave - none",1,-0.0972672615948613,-0.118484270719487,-0.0732100816765238
"hazard_type","1","hurricane - none",1,-0.0185419475754528,-0.032737605518574,-0.00389327401086342
"hazard_type","1","mudslide - none",1,-0.00157810343173594,-0.0378755372034661,0.0391338906521368
"hazard_type","1","sandstorm - none",1,-0.0947463719333278,-0.137427337210419,-0.031318578997722
"hazard_type","1","snowstorm - none",1,-0.0455074630211499,-0.0827136936751864,-0.00149206267730775
"hazard_type","1","thunder - none",1,-0.0785045181341684,-0.102461799069417,-0.0501952970182123
"hazard_type","1","tornado - none",1,-0.0339054143283727,-0.0683124837531718,0.00708275000962448
"hazard_type","1","volcano - none",1,-0.0529787949463368,-0.103752214022689,0.0162933059352113
"hazard_type","1","wildfire - none",1,-0.0242925113776107,-0.0474637141949254,0.000404724328994591
"hazard_type","2","drought - none",1,-0.00945311495243184,-0.0334833639362456,0.0157206066068061
"hazard_type","2","earthquake - none",1,-0.0202518346972872,-0.038564732859892,-0.00199466866746816
"hazard_type","2","flooding - none",1,-0.0396581560896457,-0.0510533536943436,-0.0283943873748539
"hazard_type","2","heatwave - none",1,-0.0745756999069086,-0.114989792280753,-0.0309917646048376
"hazard_type","2","hurricane - none",1,-0.0569315644772126,-0.0760252837393616,-0.0374516445606753
"hazard_type","2","mudslide - none",1,-0.0861401334474776,-0.131750482695073,-0.0379543175650668
"hazard_type","2","sandstorm - none",1,-0.0799064031235601,-0.156192826197486,0.0132349478950286
"hazard_type","2","snowstorm - none",1,-0.0331852810083872,-0.0835962411936292,0.0200734247170491
"hazard_type","2","thunder - none",1,-0.00802020423264542,-0.0490189775007712,0.0334930128318544
"hazard_type","2","tornado - none",1,-0.0275040771714602,-0.0817296832551526,0.0302613991410688
"hazard_type","2","volcano - none",1,0.0170939416723072,-0.0716955163173164,0.116085034701856
"hazard_type","2","wildfire - none",1,-0.0359293138011044,-0.0679484986349225,-0.0022648945076067
"hazard_type","3","drought - none",1,0.0708567230055012,0.0446861839833753,0.0958124820537097
"hazard_type","3","earthquake - none",1,0.0479487027405619,0.0269154873955639,0.0675211023276635
"hazard_type","3","flooding - none",1,0.0871659326143389,0.0746313584633467,0.0991481576626865
"hazard_type","3","heatwave - none",1,0.170977566958048,0.123651031765521,0.21615917142885
"hazard_type","3","hurricane - none",1,0.0754908793774439,0.0537260422243271,0.0962254818699513
"hazard_type","3","mudslide - none",1,0.0867408633875614,0.0354855807491964,0.136873008183882
"hazard_type","3","sandstorm - none",1,0.171719452146371,0.073208889525496,0.260614256837424
"hazard_type","3","snowstorm - none",1,0.0769910952369231,0.0204474692977074,0.13435811087271
"hazard_type","3","thunder - none",1,0.0860656652696827,0.0421191283241567,0.129365958391573
"hazard_type","3","tornado - none",1,0.0598543688242191,0.00101677061420585,0.121272836729075
"hazard_type","3","volcano - none",1,0.0318521383608036,-0.0646702640839602,0.129740232872415
"hazard_type","3","wildfire - none",1,0.0598348362012331,0.0250682825629349,0.0935030275137807
