"term","group","contrast","resilience_individual_within_z","estimate","conf.low","conf.high"
"hazard_type","1","drought - none",-1,-0.0722079564472629,-0.0866196344193151,-0.0576866695472142
"hazard_type","1","earthquake - none",-1,-0.0413725678553693,-0.0553172513988774,-0.0270257824802753
"hazard_type","1","flooding - none",-1,-0.0575710406695355,-0.0665053500236376,-0.0491817151521405
"hazard_type","1","heatwave - none",-1,-0.0895431265649244,-0.111280898307476,-0.0647971572188756
"hazard_type","1","hurricane - none",-1,-0.0251185618654416,-0.0394324129582786,-0.0102625598106891
"hazard_type","1","mudslide - none",-1,-0.0323275613960494,-0.0641612189566299,0.00369141137660492
"hazard_type","1","sandstorm - none",-1,-0.0586825384996381,-0.101484411185233,-0.000860317262828268
"hazard_type","1","snowstorm - none",-1,-0.0693814010208298,-0.103336838659687,-0.0247549802351749
"hazard_type","1","thunder - none",-1,-0.0565814686425846,-0.0815590745101599,-0.027867599797963
"hazard_type","1","tornado - none",-1,-0.0351791330357297,-0.0684721152142366,0.00569656954068075
"hazard_type","1","volcano - none",-1,-0.0254788695721485,-0.0791193544789467,0.0467057963662995
"hazard_type","1","wildfire - none",-1,-0.0495295282858827,-0.0715142239330032,-0.0248365554528691
"hazard_type","2","drought - none",-1,-0.0110754545439965,-0.036515279406394,0.0141114860774724
"hazard_type","2","earthquake - none",-1,-0.0281565366941943,-0.0475946287808406,-0.00831678192271975
"hazard_type","2","flooding - none",-1,-0.0312715387775124,-0.0430419544963474,-0.0191457652361715
"hazard_type","2","heatwave - none",-1,0.00212151217075207,-0.0501649436532152,0.0577386825633847
"hazard_type","2","hurricane - none",-1,-0.0522207776876252,-0.0727505590673805,-0.0307112162362304
"hazard_type","2","mudslide - none",-1,-0.0396890403408099,-0.0895055794136094,0.0130620641620453
"hazard_type","2","sandstorm - none",-1,0.0264086009186549,-0.052993216992118,0.107287862611032
"hazard_type","2","snowstorm - none",-1,0.0197543326101654,-0.0415834432285833,0.0810983409574983
"hazard_type","2","thunder - none",-1,-0.0170920131370742,-0.0583767978294856,0.0277537949129107
"hazard_type","2","tornado - none",-1,-0.0316790855853242,-0.0878273101800267,0.0273160018612223
"hazard_type","2","volcano - none",-1,0.0341155935965093,-0.0657747247447476,0.145296892125476
"hazard_type","2","wildfire - none",-1,-0.0562359581505428,-0.0905138142602152,-0.0200431545652836
"hazard_type","3","drought - none",-1,0.0832655046443545,0.0566298982886521,0.10934005160709
"hazard_type","3","earthquake - none",-1,0.0693391186448213,0.0475784509905151,0.0902254579554313
"hazard_type","3","flooding - none",-1,0.0889350292420969,0.0760851387161739,0.102248455393809
"hazard_type","3","heatwave - none",-1,0.087003268621653,0.0263611117671036,0.141345362887389
"hazard_type","3","hurricane - none",-1,0.0772992428215787,0.0538715116140736,0.100098973596348
"hazard_type","3","mudslide - none",-1,0.0710622505255686,0.0134417679974905,0.124476590960632
"hazard_type","3","sandstorm - none",-1,0.030741347620255,-0.0618921093889934,0.117299141103279
"hazard_type","3","snowstorm - none",-1,0.0483723888087765,-0.0168501141243296,0.113529947352873
"hazard_type","3","thunder - none",-1,0.0732324347556154,0.0281318127380993,0.116820453554549
"hazard_type","3","tornado - none",-1,0.0662654842555609,0.00124454873604079,0.126095543423629
"hazard_type","3","volcano - none",-1,-0.0109888373787488,-0.125153656040666,0.0967591583485095
"hazard_type","3","wildfire - none",-1,0.10539660737627,0.0659453777130289,0.144206074851333
"hazard_type","1","drought - none",0,-0.0641098153804811,-0.0752816681445273,-0.0527560513736835
"hazard_type","1","earthquake - none",0,-0.0352744744748776,-0.0462089104788075,-0.024704016306551
"hazard_type","1","flooding - none",0,-0.0532350577805485,-0.060004191666586,-0.046733044390613
"hazard_type","1","heatwave - none",0,-0.0892310282719884,-0.106133318911678,-0.0722590694518941
"hazard_type","1","hurricane - none",0,-0.0248767186123644,-0.035816717841389,-0.0137983474161702
"hazard_type","1","mudslide - none",0,-0.0327656939065286,-0.0563471604444067,-0.00686997948522604
"hazard_type","1","sandstorm - none",0,-0.0933260460523024,-0.122206619454817,-0.0548654147370182
"hazard_type","1","snowstorm - none",0,-0.059913643658157,-0.0859802865394462,-0.0295726356220483
"hazard_type","1","thunder - none",0,-0.0648980430126449,-0.0835985408282435,-0.045157967875882
"hazard_type","1","tornado - none",0,-0.0252353598038065,-0.0526419357789143,0.00568507831369523
"hazard_type","1","volcano - none",0,-0.0315218946755925,-0.0725307500180784,0.0198797307359379
"hazard_type","1","wildfire - none",0,-0.0393925721809373,-0.0559332161728391,-0.0223005596904794
"hazard_type","2","drought - none",0,-0.0162658629346809,-0.0343831160253221,0.00136342212743672
"hazard_type","2","earthquake - none",0,-0.0293425343904057,-0.0432396002988796,-0.0150279459283508
"hazard_type","2","flooding - none",0,-0.0347790754854673,-0.0430228569395758,-0.0264394194978632
"hazard_type","2","heatwave - none",0,-0.0367925344011747,-0.0708700514903139,-0.000141718696530674
"hazard_type","2","hurricane - none",0,-0.0511579166639697,-0.0662648416118843,-0.0360502012338501
"hazard_type","2","mudslide - none",0,-0.0691167968659325,-0.102883258955126,-0.034305257164487
"hazard_type","2","sandstorm - none",0,0.000479370338059298,-0.0595750979831896,0.0614637800560424
"hazard_type","2","snowstorm - none",0,-0.000324208934688838,-0.0395882989293059,0.039607066521378
"hazard_type","2","thunder - none",0,-0.0103605836505098,-0.0396544418282214,0.0200780711107576
"hazard_type","2","tornado - none",0,-0.0469160655402116,-0.0855506970686843,-0.0062423796908522
"hazard_type","2","volcano - none",0,0.0326252343890204,-0.0398294966561734,0.109448597969482
"hazard_type","2","wildfire - none",0,-0.043571063969325,-0.0670964932376581,-0.0200144149307405
"hazard_type","3","drought - none",0,0.080539788546573,0.0615108570521345,0.0994954631253029
"hazard_type","3","earthquake - none",0,0.0644870721648889,0.049805109960261,0.0800843585619925
"hazard_type","3","flooding - none",0,0.0879847921238836,0.0792321654964103,0.0969699749358168
"hazard_type","3","heatwave - none",0,0.125686753476438,0.0874213892328804,0.162316967330005
"hazard_type","3","hurricane - none",0,0.0762639931138077,0.0595366893203963,0.0926551724073209
"hazard_type","3","mudslide - none",0,0.101648998290019,0.0637016401125199,0.138867886542957
"hazard_type","3","sandstorm - none",0,0.0912960349735758,0.0253334598925671,0.157053155119729
"hazard_type","3","snowstorm - none",0,0.0593902605940333,0.0166009073867878,0.100863514950135
"hazard_type","3","thunder - none",0,0.0746537440780356,0.0443488623281215,0.106479872022876
"hazard_type","3","tornado - none",0,0.0721954492779768,0.0263538454926634,0.114526288499889
"hazard_type","3","volcano - none",0,-0.00356046565753873,-0.0800327382697458,0.072778042937545
"hazard_type","3","wildfire - none",0,0.0829372169007702,0.0564427610746787,0.108391423173096
"hazard_type","1","drought - none",1,-0.0551010625698603,-0.0703434238484485,-0.0390467705071949
"hazard_type","1","earthquake - none",1,-0.0289440730734017,-0.0434673806286285,-0.014246092641733
"hazard_type","1","flooding - none",1,-0.0484957543754721,-0.0568022406445322,-0.0405079662998217
"hazard_type","1","heatwave - none",1,-0.0892123767796152,-0.109947645100341,-0.0681326558951103
"hazard_type","1","hurricane - none",1,-0.0246460548237128,-0.0391866234688832,-0.00996061080687393
"hazard_type","1","mudslide - none",1,-0.0335710132283184,-0.0648605797240464,0.00190752040262942
"hazard_type","1","sandstorm - none",1,-0.116573355676127,-0.145771640410745,-0.0713394513469621
"hazard_type","1","snowstorm - none",1,-0.0487326924622533,-0.0838988476378086,-0.00589873993457595
