"term","contrast","country","estimate","conf.low","conf.high"
"sandstorm","sandstorm","Uruguay",0.049135521687487,-0.307623848078127,0.224358822824175
"snowstorm","snowstorm","Uruguay",0.0532847447176429,-0.117296745159842,0.186187872613986
"thunder","thunder","Uruguay",0.060719598546525,-0.0548786490724781,0.163001638225154
"tornado","tornado","Uruguay",0.0727961264482227,-0.0441391064523988,0.19832285595425
"volcano","volcano","Uruguay",-0.0102965155574235,-0.458165331345413,0.214425326292103
"wildfire","wildfire","Uruguay",0.0691415164052663,0.000248749854136017,0.142181283716832
"drought","drought","Benin",0.0870129767574532,-0.0163258207318592,0.180136245598344
"earthquake","earthquake","Benin",0.0747644926923713,-0.0666606765730546,0.207314384234734
"flooding","flooding","Benin",0.0771513850291494,0.0151953596174736,0.138666828268012
"heatwave","heatwave","Benin",0.13320032948863,-0.098403120986998,0.299219202795697
"hurricane","hurricane","Benin",0.0804502702923396,0.0168584895522581,0.155734643718447
"mudslide","mudslide","Benin",0.109866519719095,-0.00139729192399526,0.236066603782436
"sandstorm","sandstorm","Benin",0.0600093750205149,-0.293648576006818,0.323886838022147
"snowstorm","snowstorm","Benin",0.0650746353525216,-0.12759555586416,0.239463621303796
"thunder","thunder","Benin",0.0700875624680661,-0.0935014804695895,0.206341139348718
"tornado","tornado","Benin",0.0751171426622217,-0.125944951554756,0.225215142033668
"volcano","volcano","Benin",-0.0130738923171668,-0.39442536361293,0.310375821119632
"wildfire","wildfire","Benin",0.0771745486561973,-0.0534542923339576,0.190006316017383
"drought","drought","Botswana",0.0916071841676522,-0.0788522535522748,0.225459158792177
"earthquake","earthquake","Botswana",0.0590495301341576,-0.0541957240648853,0.156893841422906
"flooding","flooding","Botswana",0.105286986809225,0.0448894336333382,0.162745137205701
"heatwave","heatwave","Botswana",0.120758411799361,-0.0994737017432148,0.254764429432559
"hurricane","hurricane","Botswana",0.0716889240496231,0.0160018880691035,0.125145522077822
"mudslide","mudslide","Botswana",0.0977093999252978,-0.0131014349560487,0.203402335305532
"sandstorm","sandstorm","Botswana",0.0555684111767314,-0.307750464415651,0.256505299711583
"snowstorm","snowstorm","Botswana",0.0596972721023332,-0.13274138592534,0.209095794942405
"thunder","thunder","Botswana",0.063201026461611,-0.0927819024733329,0.178787722560625
"tornado","tornado","Botswana",0.0755190895040349,-0.0824740040237674,0.219200820833664
"volcano","volcano","Botswana",-0.0108174083555093,-0.43677938570814,0.266328476950111
"wildfire","wildfire","Botswana",0.0721918618510772,-0.044945305306471,0.169380164037687
"drought","drought","Cameroon",0.0968177512254903,-0.0953330937394862,0.266176909421824
